[run number],release-adult-hybrids,stop-criterion-type,release-end,release-age,sex-ratio,Corral-capacity,[step],pop-size-wild,adult-pop-size-wild,cost,final-mean-qval,final-sd-qval,final-aar,final-sar,final-ho,final-sex-ratio,ticks
41,TRUE,"""time""",20,4,0.67,20,50,858,406,891330,0.189594056,0.033809645,136,4.470710424,0.717393717,0.553613054,50
42,TRUE,"""time""",20,4,0.67,20,50,831,393,840230,0.18999278,0.031865754,131,4.480428547,0.713941894,0.565583634,50
43,TRUE,"""time""",20,4,0.67,20,50,896,400,874080,0.189633371,0.032736632,135,4.472005237,0.713275935,0.550223214,50
44,TRUE,"""time""",20,4,0.67,20,50,920,421,885020,0.194040978,0.036608983,132,4.455347677,0.710662526,0.561956522,50
45,TRUE,"""time""",20,4,0.67,20,50,908,424,882855,0.19366663,0.033413076,137,4.480030658,0.709251101,0.577092511,50
46,TRUE,"""time""",20,4,0.67,28,50,1218,566,1159320,0.206643596,0.037589481,138,4.485764185,0.70681836,0.582101806,50
47,TRUE,"""time""",20,4,0.67,28,50,1137,490,1128880,0.1944854,0.033997788,138,4.515518326,0.710474515,0.564643799,50
48,TRUE,"""time""",20,4,0.67,28,50,1132,493,1196060,0.198170318,0.035349553,136,4.500790958,0.714706377,0.566254417,50
49,TRUE,"""time""",20,4,0.67,28,50,1216,565,1186210,0.192166283,0.033663587,135,4.5200894,0.706531955,0.578947368,50
50,TRUE,"""time""",20,4,0.67,28,50,1154,516,1158645,0.188787435,0.03038536,132,4.521058986,0.706528018,0.572790295,50
51,TRUE,"""time""",20,4,0.75,20,50,918,393,867430,0.190125272,0.033260152,136,4.475207585,0.715115676,0.574074074,50
52,TRUE,"""time""",20,4,0.75,20,50,911,399,888410,0.192738419,0.033358769,132,4.46101849,0.713815274,0.572996707,50
53,TRUE,"""time""",20,4,0.75,20,50,816,382,816765,0.190542525,0.031766242,131,4.448582455,0.709675537,0.582107843,50
54,TRUE,"""time""",20,4,0.75,20,50,867,388,896040,0.192371626,0.034717753,133,4.437346974,0.710605811,0.625144175,50
55,TRUE,"""time""",20,4,0.75,20,50,978,416,893760,0.187854601,0.030698052,134,4.493063117,0.718667835,0.598159509,50
56,TRUE,"""time""",20,4,0.75,28,50,1347,581,1154700,0.194653007,0.033000871,138,4.537244334,0.71421501,0.616184113,50
57,TRUE,"""time""",20,4,0.75,28,50,1421,609,1187875,0.195323786,0.034010015,139,4.489369428,0.708689387,0.579169599,50
58,TRUE,"""time""",20,4,0.75,28,50,1312,555,1173280,0.194832012,0.032985046,136,4.492693243,0.715265679,0.586890244,50
59,TRUE,"""time""",20,4,0.75,28,50,1235,536,1122050,0.200138704,0.037844553,136,4.493941802,0.705764411,0.583805668,50
60,TRUE,"""time""",20,4,0.75,28,50,1204,525,1159655,0.19811113,0.03540786,137,4.496342994,0.710567948,0.569767442,50
61,TRUE,"""time""",20,5,0.5,20,50,718,367,992505,0.192014067,0.031725847,136,4.483630551,0.715413185,0.501392758,50
62,TRUE,"""time""",20,5,0.5,20,50,714,338,939565,0.193334594,0.036248462,134,4.47156792,0.704215019,0.535014006,50
63,TRUE,"""time""",20,5,0.5,20,50,728,355,969510,0.191518819,0.032444376,135,4.4792262,0.706043956,0.542582418,50
64,TRUE,"""time""",20,5,0.5,20,50,766,398,983780,0.187876893,0.032562031,134,4.466717223,0.709561109,0.537859008,50
65,TRUE,"""time""",20,5,0.5,20,50,759,372,962840,0.190155731,0.033294042,133,4.472869942,0.716042412,0.552042161,50
